run,model,lang,accuracy,f1_macro,precision,recall,roc_auc,majority_f1
afroxlmr_zul,afro-xlmr-base,zul,0.9753694581280788,0.9753670671035068,0.9757187257187258,0.9754416618132402,0.9947582993593477,0.3344262295081967
afroxlmr_eng,afro-xlmr-base,eng,0.9952380952380953,0.9952379872559468,0.9952830188679245,0.9952380952380953,1.0,0.3333333333333333
afroxlmr_combined,afro-xlmr-base,combined,0.9854721549636803,0.9854720697903476,0.9855065666041276,0.9854837953191689,0.9950283757797477,0.3338709677419355
afroxlmr_cross,afro-xlmr-base,cross,0.7536945812807881,0.7371011189390799,0.8355263157894737,0.7524752475247525,0.9845661036691904,0.3344262295081967
