run,model,lang,accuracy,f1_macro,precision,recall,roc_auc,majority_f1
xlmr_base_zul,xlm-roberta-base,zul,0.9408866995073891,0.9407126168224299,0.9469026548672566,0.9411764705882353,0.9928169287516987,0.3344262295081967
xlmr_base_eng,xlm-roberta-base,eng,0.9952380952380953,0.9952379872559468,0.9952830188679245,0.9952380952380953,1.0,0.3333333333333333
xlmr_base_combined,xlm-roberta-base,combined,0.9830508474576272,0.9830472694434509,0.9835680751173709,0.9830917874396135,0.9952628863561747,0.3338709677419355
xlmr_base_cross,xlm-roberta-base,cross,0.541871921182266,0.41682883884718747,0.7615384615384615,0.5396039603960396,0.9732090856144437,0.3344262295081967
